x,y,EC
777853.1249,3589067.434,138.9
779843.5872,3589469.776,232
781270.0587,3589750.284,232
780612.9434,3588611.627,183
783887.1854,3589697.106,5.67
783971.4323,3589802.003,34
784937.4477,3590256.962,34
785420.4396,3589683.144,14.8
784937.3947,3588654.37,28.1
785527.0686,3587786.052,5.86
786335.8346,3587831.499,28.8
786526.7831,3587641.902,13.61
776210.1964,3591568.956,151.8
775154.4504,3592711.353,135.8
775513.8483,3592731.575,137.1
776192.5069,3593912.472,184.8
777754.4605,3594560.235,209
777894.8861,3593666.767,227
778164.4445,3593681.937,162.9
779018.0253,3594531.208,227
779034.9235,3592629.233,226
778288.0212,3591485.529,204
777782.5948,3590856.188,148.1
778928.0437,3586513.861,116.4
780826.0877,3584817.69,36.7
782224.403,3583994.794,30.2
783667.9134,3585578.227,240
784240.8535,3586612.01,6.66
784544.1997,3587630.66,207
786680.9851,3585235.617,229
785835.6448,3583897.051,4.15
785605.2904,3583182.985,215
786598.9295,3579933.374,12.43
786070.9468,3579703.438,15.54
787704.9348,3581536.935,88.2
790356.5153,3580444.619,15.56
791637.3378,3581718.501,64.5
793474.2074,3582723.116,97.3
792502.9136,3587176.337,0.9
788874.2309,3584368.136,169.4
789548.5436,3588412.707,1.7
788065.7024,3587528.044,2.7
785948.4131,3591515.766,0.18
787121.038,3578660.528,5.27
788483.8106,3578561.643,33.4
790921.6869,3578779.457,23
790061.5415,3575914.524,58.75
788451.2025,3574227.674,7.04
780151.1106,3577568.69,14.33
779016.5665,3576904.184,4.17
777780.9926,3576434.336,43.2
776657.6637,3575570.198,6.05
778072.5645,3574447.664,23.2
777130.6796,3583208.078,21.4
773375.5785,3583753.391,70.7
772498.2841,3588656.263,23.6
772645.4542,3590936.819,35.7
768258.7337,3587116.16,8.67
767972.3839,3587400.483,2.94
787378.6038,3578657.941,27
782432.5584,3594723.414,29.2
782539.2769,3594428.945,41.5
783746.7823,3593795.787,20
783988.2656,3594310.182,42.2
788863.6375,3594339.186,2.21
791739.1755,3592743.019,9.19
792317.7009,3593677.119,2.73
792873.7361,3595010.663,1.9
794564.5027,3593803.554,1.3
794289.2855,3592285.439,1.6
795648.5576,3595367.217,6.08
796120.4187,3594993.069,100.7
796659.7191,3593420.568,39
798075.2733,3593900.941,3.1
798882.3004,3591148.286,26.2
798726.8273,3588728.187,65.7
797294.3921,3588547.503,79.2
796266.4625,3589190.976,1.7
796401.3047,3589999.977,33.2
795508.0968,3588246.762,4.47
794238.0194,3581964.59,48.5
796164.829,3582974.291,36
797243.3475,3583034.82,117.9
798541.0701,3584009.272,74.6
799855.6253,3584684.157,50.6
799670.406,3586376.849,89.3
796619.7767,3585630.482,51.9
796075.5449,3580048.139,80.8
793142.2255,3578998.115,34
791856.0302,3579426.853,35.7
798478.4772,3578696.237,31.3
798568.0372,3577098.388,24.6
