Nir,Red,SWIR1,DEM,MRVBF,TWI,EC.class
0.21012339,0.188330635,0.195349753,1116.234375,0.596602773,5.783810981,S1
0.255311668,0.229756251,0.266834766,1086.8125,2.042114275,7.12035121,S3
0.260919094,0.230409563,0.25336206,1088.875,1.660080497,6.334871769,S2
0.453479409,0.385424852,0.431486607,1044.9375,3.764282943,5.781615086,S3
0.249276191,0.215518892,0.298460692,1144.09375,0.163797255,5.725122936,S1
0.345017195,0.151221246,0.144533992,999.3125,5.718162507,7.048370928,S2
0.348643035,0.297404468,0.362220228,1002.734375,1.336586605,6.073546685,S2
0.378123939,0.314455152,0.35119158,1019.921875,4.532818604,6.643734455,S2
0.299762279,0.261554331,0.28704688,1023.578125,0.84831782,5.864969879,S3
0.270671248,0.238288954,0.261687517,1036.46875,1.46154892,6.091942959,S2
0.328764379,0.280188322,0.372962534,1043.953125,1.030013925,6.101646803,S1
0.28149727,0.248886526,0.302705467,1176.640625,1.989811413,6.206480473,S1
0.275748223,0.243721694,0.286334574,1094.1875,1.723701127,6.338937283,S4
0.342257321,0.254398435,0.282894909,1019.796875,5.642200574,6.218744703,S3
0.24985823,0.224467531,0.262869239,1116.484375,1.5433351,6.191387653,S4
0.277229398,0.248797908,0.272636831,1058.734375,2.352669835,6.043233328,S3
0.254401356,0.228380173,0.26549533,1098.828125,1.685822413,6.213436991,S4
0.27315098,0.238814116,0.272478819,1050.109375,0.622692045,6.227558121,S3
0.325126141,0.160889924,0.161771774,1030.875,4.466757614,6.62571191,S2
0.281018496,0.245269001,0.309039742,1113.578125,1.026872822,5.665415466,S3
0.243848115,0.219532415,0.259316683,1141.109375,0.998154966,6.224362388,S3
0.343453676,0.266711384,0.308547497,1048.671875,3.761370275,6.496206105,S2
0.317537665,0.270775497,0.347228825,1002.875,2.878263086,6.30786372,S3
0.357150316,0.303289294,0.358250618,1020.875,5.180562835,6.772358783,S4
0.298567712,0.265803516,0.274919808,1067.046875,2.000011558,6.540911466,S2
0.27120766,0.241290271,0.279979169,1086.03125,1.288391857,6.130317852,S4
0.269435167,0.237778902,0.261185676,1066,2.032586105,6.250785358,S1
0.303637028,0.265460074,0.289465457,1088.734375,1.15567265,5.756711245,S1
0.259395063,0.23146373,0.269105613,1149.4375,0.715392858,5.536052838,S4
0.374184847,0.305436909,0.347138494,1009.9375,4.352272722,6.748554155,S3
0.305348873,0.264061987,0.320354044,1054.53125,3.121480768,6.066532686,S3
0.273698717,0.239496917,0.265224993,1032.078125,1.953161483,6.44476261,S2
0.286301941,0.250609219,0.307050347,1078.5625,0.372319857,5.899723463,S3
0.314909488,0.274222374,0.319045365,1049.46875,3.727273408,6.102340326,S3
0.294884086,0.259557903,0.272683382,1077.046875,1.448778844,6.358559638,S4
0.394448996,0.340709388,0.3603791,1052.640625,0.725017236,5.330269091,S3
0.316199481,0.243027508,0.276467323,1018.984375,3.669317909,6.473128043,S2
0.259344041,0.226306871,0.262772679,1067.796875,1.852442421,6.834416933,S3
0.277215362,0.24632588,0.299951196,1210.4375,0.705800828,5.880205847,S1
0.369996637,0.317538053,0.350788981,995.34375,4.822673528,5.978399009,S4
0.27546528,0.242433786,0.259616375,1179.703125,0.916446625,7.726687208,S1
0.285668075,0.247485667,0.333129078,1037.234375,1.515187915,5.936311275,S3
0.269204646,0.237809554,0.256117463,1046.84375,1.300307454,6.143209688,S4
0.33622241,0.285908341,0.357376605,1005.765625,2.42801885,6.436120078,S3
0.279576659,0.245754689,0.271295518,1039.53125,0.958916304,6.398673438,S2
0.385690361,0.326276064,0.362336904,1007.4375,5.422601301,6.115759544,S4
0.348849416,0.167094871,0.170200735,1028.328125,4.730157442,7.218872346,S1
0.373432994,0.321573317,0.369829237,995.25,5.727474734,5.933022872,S4
0.278919488,0.249713063,0.284875154,1062.84375,2.112013732,7.167249739,S4
0.238884211,0.214786366,0.278296679,1098.21875,0.753503627,5.760718189,S4
0.298711002,0.264523834,0.305461884,1037.28125,1.486228705,5.763660565,S1
0.204555288,0.179858983,0.203199312,1185.015625,1.46E-05,3.242570404,S1
0.272049367,0.235393822,0.296433359,1128.421875,1.081403607,6.081344262,S3
0.28089565,0.248778909,0.26075837,1075.375,1.852947485,6.742215961,S2
0.392372191,0.329313129,0.380461514,1030.859375,0.600881405,5.66993206,S2
0.307030708,0.261349916,0.338322878,1008.875,2.583439074,6.063033357,S3
0.261091709,0.2261049,0.283619851,1083.6875,0.841916904,6.708351918,S1
0.253005385,0.22348842,0.256740808,1246.09375,1.109636559,6.265430622,S3
0.24914524,0.215916157,0.296313256,1133.359375,0.655378217,4.761494182,S3
0.374055803,0.316860557,0.357991815,995.796875,2.474064054,5.95454663,S4
0.323817104,0.274885088,0.36586076,1033.75,1.360043187,6.463638917,S2
0.368597806,0.313095123,0.379832059,1026.96875,4.524559706,6.416737288,S4
