id,x,y,ec.0-5 cm,ec.5-15 cm,ec.15-30 cm,ec.30-60 cm,ec.60-100 cm,ec.100-200 cm
1,777852.7045,3589067.375,138.4120729,151.5251129,173.3152084,86.60573939,17.25711142,47.14761147
2,779843.5872,3589469.776,243.0879812,233.3444555,194.906502,111.8569352,48.00663396,41.3285838
3,781270.0587,3589750.284,227.2396415,200.0907486,144.6457543,89.44288004,60.27982653,52.61463063
4,780612.9434,3588611.627,182.4914876,196.1577585,220.0853535,118.6350835,38.80021415,48.72334067
5,783887.1854,3589697.106,5.671806352,5.574770515,4.545937771,4.934882163,11.83262087,21.742501
6,783971.4323,3589802.003,36.03075331,46.55345021,60.35631791,71.83750348,71.83750348,71.83750348
7,784937.4477,3590256.962,36.07333753,47.6795258,64.59769662,49.88744877,29.82589635,33.79579382
8,785420.4396,3589683.144,14.83206082,14.79665118,14.67599215,16.89796724,28.54607351,57.00961359
9,784937.3947,3588654.371,31.8958995,53.44892979,94.49962517,122.84658,139.2213277,146.0177143
10,785527.0686,3587786.052,5.619541555,5.749437449,6.268014078,8.198080919,13.59546679,25.75779389
11,786335.8346,3587831.499,27.75216268,33.68071595,49.42018555,53.05615656,42.02603653,28.72059018
12,786526.7831,3587641.902,13.94634213,13.36628685,11.25629867,8.212279212,6.149419775,3.980206583
13,776210.1964,3591568.956,157.701014,147.5241316,110.2293799,49.8554327,22.47344547,28.55839986
14,775154.4504,3592711.353,134.7847815,162.0687796,193.0571265,90.22644305,48.90556534,71.10730893
15,775513.8483,3592731.575,139.8913893,132.8030188,107.125666,73.22486241,68.97155719,65.62136845
16,776192.3961,3593912.787,184.4121903,194.8345752,189.611269,75.89778815,14.27432783,28.26704785
17,777754.4605,3594560.235,209.3986063,213.294077,186.5982492,74.10131117,41.06388882,24.26773625
18,777894.8861,3593666.767,226.7925,224.6818135,179.6837657,84.72194151,60.88064933,47.02777251
19,778164.4445,3593681.937,167.4343907,191.8625149,198.5397748,122.2297138,54.68169324,31.40554932
20,779018.0253,3594531.208,227.0637251,227.6864926,211.695424,135.9549361,75.85465566,30.86590181
21,779034.9235,3592629.233,225.3775,222.2759205,190.6974157,105.3029282,47.74075943,24.9023666
22,778288.0212,3591485.529,205.8675,211.0371111,172.8695304,88.97914517,53.76585446,30.86171429
23,777782.5948,3590856.188,149.913554,167.6369228,124.0492613,49.22422641,41.59453545,27.40608169
24,778928.0437,3586513.861,124.0627643,165.8898135,193.0504162,60.19025666,2.691519653,15.63313023
25,780826.0877,3584817.69,36.89165577,35.80728758,32.9832572,33.53154629,39.83653532,41.98842872
26,782224.403,3583994.794,27.00406386,29.81248186,40.87960813,63.20757026,73.61836303,66.93575835
27,783667.9134,3585578.228,239.3441161,239.7613204,241.4269031,201.7204767,93.33752124,65.12216365
28,784240.8535,3586612.01,6.200650936,5.252394762,4.736167569,6.7734407,12.05019869,16.63817
29,784544.1997,3587630.66,208.8592778,204.1378834,184.8393338,129.5987814,83.09812602,72.05537813
30,786680.8703,3585235.557,231.0406987,229.7426211,224.5603735,169.9629782,82.55133345,85.17178695
31,785835.6448,3583897.051,5.320835209,6.852456749,12.96706987,35.29443327,66.92839698,80.41858799
32,785605.2904,3583182.985,222.3714087,209.6586851,163.1424044,89.67195355,44.80084525,22.09366227
33,786598.9295,3579933.374,12.30763117,12.99998112,15.00356823,16.81151156,16.4138102,15.81560091
34,786070.9468,3579703.438,16.17359563,15.47381963,12.73012868,9.006904492,14.8517852,28.30072666
35,787704.8896,3581537.42,88.38890625,87.90920336,85.70409242,70.71806519,35.81034169,12.84587257
36,790356.5153,3580444.619,14.0678568,17.85696059,31.22359916,42.67141833,44.38217384,44.22877334
37,791637.3378,3581718.501,64.51665023,64.58297624,63.82857184,60.89584223,60.45836486,60.45836486
38,793474.2074,3582723.116,100.9900807,137.0522329,169.4692742,72.61689401,51.99534067,46.95497525
39,792502.9136,3587176.337,0.907159101,0.888979494,0.816757984,0.586854574,0.873233389,2.547074283
40,788874.2309,3584368.136,161.882818,174.8469421,215.8817457,187.8441075,113.1168746,61.80897656
41,789548.5436,3588412.707,1.784826675,1.638534682,1.103208189,0.262807032,0.015288865,0.212678842
42,788065.7024,3587528.044,2.822110605,2.611518786,1.840207403,0.602728018,0.089322638,0.36760143
43,785948.4131,3591515.766,0.33214649,2.317805836,5.942730504,7.516741027,7.039088037,6.874940496
44,787121.0381,3578660.528,6.491419231,13.43412075,26.90238367,39.88442789,43.65421661,40.90966692
45,790921.288,3578779.55,21.54880313,25.23392905,38.39422303,52.14963859,46.18025414,37.84327748
46,790061.2728,3575914.528,57.94101563,62.51816406,72.361375,54.68918229,37.36957194,37.36957194
47,788451.2025,3574227.674,7.01925,6.958053108,7.268325882,8.604245685,10.3337878,12.23311274
48,780151.1106,3577568.69,14.2727905,15.81029596,19.58237103,16.4281209,11.23698301,15.89794692
49,777780.9926,3576434.336,46.49687941,64.24888882,67.96789694,11.96168239,2.682307928,2.441886235
50,776657.6637,3575570.198,5.683945044,6.31524303,8.451230156,8.332454059,5.719160461,5.719160461
51,778072.5645,3574447.664,22.35329101,24.50339848,32.42244906,46.25849145,55.09056907,40.92515973
52,777130.6796,3583208.078,20.94413954,22.10173795,26.20697855,29.34186398,22.13387513,24.4778416
53,773375.8002,3583753.761,72.97579624,69.05096048,54.70363679,32.39648578,23.52317671,23.52317671
54,772498.2841,3588656.263,22.16978394,60.60684067,166.7365834,210.3805532,70.50937613,36.93935736
55,772645.6563,3590936.822,35.92607484,35.35198716,33.17815339,27.86464231,20.97465335,23.786005
56,768258.7337,3587116.16,9.220038784,8.271442486,4.862313354,1.053142574,1.828433451,2.549889819
57,782432.5584,3594723.414,28.66196286,31.70612035,40.70964475,52.15816642,63.33728306,68.85722784
58,782539.2769,3594428.945,41.18914656,49.54333272,72.54360105,118.9378486,223.0754266,223.0754266
59,783746.7823,3593795.787,20.46765966,17.82169053,10.22560047,3.869846551,4.465439702,5.525834034
60,783988.2656,3594310.182,42.60110604,40.33169029,34.24310402,33.46176948,44.29052588,52.6728894
61,788863.3473,3594339.216,1.661295425,4.765808154,13.54252615,19.51312597,15.52975927,11.90672046
62,791739.1755,3592743.019,9.262498149,9.591011579,10.46233605,12.50015148,15.01199247,16.73543883
63,792317.7009,3593677.119,2.322781003,0.965912269,0.022359367,0.048469552,0.231289358,0.231289358
64,792873.7361,3595010.663,1.889593419,1.778337552,2.34385927,6.719353126,12.30813338,12.30813338
65,794564.5027,3593803.554,1.3,1.3,1.3,1.3,1.3,1.3
66,794289.2855,3592285.439,1.587924577,1.43231393,1.210371059,1.258254408,1.388680102,1.478168923
67,795648.5576,3595367.217,5.838735624,4.480847111,2.269320078,2.227420281,3.470635542,4.917077834
68,796120.4187,3594993.069,98.76492973,109.7133536,139.39827,145.6385706,76.9855963,18.25275448
69,796659.7191,3593420.568,39.65018114,48.00579378,60.46933717,71.90232806,81.73655186,81.73655186
70,798075.2733,3593900.941,3.09596845,3.07578157,4.053808654,8.145739171,10.78792494,10.78792494
71,798881.9917,3591147.843,27.88836551,24.97661216,14.66937764,6.278782587,9.387945506,13.9784899
72,798726.8273,3588728.187,65.46450066,62.39116854,56.78573414,54.38514896,55.26727294,55.75519395
73,797294.3921,3588547.503,82.11758733,79.5537674,69.43717005,47.2632577,25.86759141,12.2153743
74,796266.4625,3589190.976,1.735467317,1.716307837,1.639818439,1.668119516,2.804937981,2.804937981
75,796401.3047,3589999.977,27.94450892,29.01249624,33.27616654,48.05494694,58.13895927,54.27985493
76,795508.0968,3588246.762,1.109648138,2.345353355,7.278595114,21.38672261,27.05085827,20.77347181
77,794238.0194,3581964.59,42.20643684,72.50008041,160.3155515,78.9873522,60.59454505,61.55367741
78,796164.829,3582974.291,52.09754239,137.8695406,161.462798,55.95385071,54.06858114,86.75043195
79,797243.3476,3583034.82,113.9627471,132.9144497,179.1021351,59.75446113,42.28960597,42.28960597
80,798541.0701,3584009.272,43.15706573,60.14257042,127.9529186,168.3656984,21.54903609,21.54903609
81,799855.6253,3584684.157,14.97773784,34.22091966,111.044475,173.1785175,21.80852713,21.80852713
