ASPECT,CaSLOP,CHNL_BASE,CHNL_DIST,DEM30f,DEVMEAN,FLOW,HCURV,LSFACTOR,MCA,MRVBF,NegOpen,PosOpen,RSP,SLOPE,surface_area,TWI,VALLEY_DEPTH,VCURV,sentinel2.1,sentinel2.2,sentinel2.3,sentinel2.4,sentinel2.5,sentinel2.6,sentinel2.7,sentinel2.8,sentinel2.9,sentinel2.10,NDVI.S,EVI.S,TVI.S,SAVI.S,LSWI.S,BrightnessIndex.S,ClayIndex.S,SalinityIndex.S,CarbonateIndex.S,GypsumIndex.S,landsat8.1,landsat8.2,landsat8.3,landsat8.4,landsat8.5,landsat8.6,NDVI.L,EVI.L,SAVI.L,NDMI.L,COSRI.L,BrightnessIndex.L,ClayIndex.L,SalinityIndex.L,CarbonateIndex.L,GypsumIndex.L,MODISdaytemp,MODISnighttemp,modisrednir.1,modisrednir.2,NDVI.M,SAVI.M,BrightnessIndex.M,Climatetempprec.1,Climatetempprec.2,Clay
5.672893047,0.011473919,1790.130859,0.772949219,1790.903809,0.48756516,1548.733276,4.41E-05,0.060712516,323044.8125,4.120469093,1.479371309,1.606429338,0.047639828,0.012303527,900.0681152,8.877037048,18.61761475,0.000115103,1887.628906,2126.789551,2605.0625,2735.5,2961.875,3153.294189,3116.875,3279.333252,3581.5,2953.199951,0.089447409,0.278823733,76.77548218,0.044719797,-0.06936384,1777.841919,0.867505491,-0.102270372,1.380071282,0.090415359,0.193386257,0.220603436,0.267649919,0.351509571,0.371095836,0.299642861,0.13544111,-0.425262272,0.112396382,-0.027105063,-0.005953757,-0.0519225,1.238460422,-0.146578819,1.213262677,0.027105063,14140.5,13299.5,2649,3199,0.094049245,0.141061813,-3216400,112,413,11.2
0.019749561,0.017043719,1829.471313,0.103637695,1829.37854,-0.555730283,11472.11914,5.94E-05,0.038325466,260235.75,2.860221386,1.475827456,1.608925819,0.006904881,0.005254069,900.0828247,8.417275429,16.63922119,-0.000219479,1709.555542,1941.099976,2479,2706.071533,3217.666748,3470.777832,3443.399902,3658.199951,3258.25,2648.5,0.162839383,0.438783795,81.41494751,0.081412822,0.027627524,1753.857056,0.779672921,-0.187154725,1.450084448,0.149605274,0.17310214,0.201089874,0.259872526,0.386539668,0.326429129,0.25519377,0.195954129,-0.898370862,0.165735081,0.084310196,-0.008484234,-0.081879184,1.279142261,-0.215556115,1.292320251,-0.084310196,14182,13258.5,2693,3328,0.105464205,0.158183172,-3823335,110,409,6
5.120622635,0.011309543,1813.84436,1.401245117,1815.245605,0.906608164,1210.087524,4.39E-05,0.057864282,161777.2969,3.060063839,1.52085495,1.578658223,0.096924409,0.013108594,900.0773315,8.543766022,14.24572754,0.000137043,1586.842163,1774.184204,2284.263184,2476.04541,2803.25,3015.8125,2955.5,3215.115479,3397,2616,0.128104419,0.352631986,79.2530365,0.0640461,-0.0695002,1573.123413,0.82102102,-0.147773296,1.439502478,0.12986277,0.165906474,0.193449676,0.2522071,0.364982039,0.364120185,0.266604602,0.182723463,-0.770165086,0.151417881,0.001182075,-0.008154371,-0.069603465,1.365768552,-0.201949373,1.303734899,-0.001182075,14185,13265,2296,3090,0.147419229,0.221108332,-4276484,111,410,9
0.969722569,0.003370513,1798.244263,0.945922852,1799.190186,0.27695477,1080.322632,0.000204603,0.009426706,85945.89063,4.905604362,1.524471521,1.577893734,0.141525194,0.003194596,900.0045776,9.164381981,5.92980957,0.000178426,1710.071411,1967.142822,2537.75,2742.571533,3122.5,3341.45459,3311.571533,3537.300049,3269.666748,2619.5,0.132292509,0.338709891,79.51682281,0.0661406,0.006367307,1751.684326,0.820771754,-0.154097259,1.484002352,0.126551732,0.165434971,0.197025344,0.249788612,0.334294945,0.322106034,0.267665595,0.144681931,-0.518144131,0.116927795,0.018569307,-0.007825174,-0.049358759,1.203389764,-0.159049705,1.267799377,-0.018569307,14213.5,13314.5,2873,3481,0.095687754,0.14352034,-3863232,112,412,15
2.871427298,0.011150272,1807.459351,0.477539063,1807.93689,-0.074001901,319091.1563,-0.000165466,0.274035603,155838.1875,2.992413282,1.514945865,1.577088714,0.103813387,0.01727959,900.1343994,8.537341118,5.223388672,2.90E-05,1842.619019,2097.083252,2686.285645,2865.600098,3123.90625,3374.353027,3314.705811,3535.153809,3918.300049,3275.706299,0.104719386,0.279955953,77.76370239,0.05235533,-0.083449967,1823.595703,0.849229455,-0.121850021,1.457862735,0.104605466,0.185307622,0.217627734,0.272568971,0.386370182,0.383652002,0.319283038,0.172703668,-0.773057401,0.147291437,0.003530003,-0.008470891,-0.074988075,1.201604724,-0.188413247,1.252455115,-0.003530003,14235.5,13262,2938,3551,0.094467558,0.141690418,-3977757,111,413,8
1.932601213,0.029717008,1822.257202,7.024536133,1829.281738,0.18506977,3555.173096,-5.13E-05,0.175325722,73703.21094,1.456813812,1.446000457,1.612894535,0.697168708,0.02448071,900.2697754,7.270775318,2.620788574,-7.59E-05,1686.866699,1927.5,2357,2711.333252,3334.714355,3667.75,3663.133301,3929.833252,3568,2533.428467,0.216960862,0.633721292,84.67353821,0.108471423,0.013156075,1757.075806,0.739236116,-0.244137079,1.397265196,0.183476806,0.166344985,0.192108214,0.23712787,0.431275636,0.351100087,0.267406851,0.290464908,-1.233327746,0.249247491,0.102477044,-0.011195803,-0.129769042,1.31298089,-0.311441749,1.234345317,-0.102477044,14207,13288,2828,3575,0.116664067,0.174982429,-4783041,110,414,5.7
1.212025642,0.021862689,1809.052856,18.37536621,1827.00293,-0.801339805,8676.52832,-9.83E-05,4.36E-05,191581.875,2.925769567,1.433236122,1.623546243,0.771969676,3.48E-05,900.1066895,8.035758972,5.613098145,-0.000319451,1680.257202,1936.199951,2546.449951,2740,2990.384521,3183,3124,3307.90918,3726.692383,3096.769287,0.101852588,0.248953775,77.57915497,0.050921801,-0.08797539,1710.554077,0.860823095,-0.120216295,1.515512109,0.093901724,0.170169979,0.203063279,0.267467141,0.35422948,0.385656416,0.3292,0.139557362,-0.683722496,0.116023801,-0.042475384,-0.00738383,-0.053939853,1.171495795,-0.15568538,1.31716156,0.042475384,14147,13278,3031,3710,0.100726895,0.151079133,-4577139,110,413,10
1.302971244,0.026028274,1823.485962,5.082519531,1828.568481,0.827322304,2016.725464,0.000460418,0.233833298,94032.42969,0.293799549,1.505580425,1.576448679,0.899139404,0.033338089,900.5003662,7.517350197,0.567871094,0.000199033,1751.277832,2023.357178,2600.75,2789.5,3219.333252,3481.666748,3411.444336,3596.5,3731.75,2998.833252,0.134841681,0.344661832,79.67695618,0.067415237,-0.04484066,1800.436646,0.801196754,-0.157028481,1.485058546,0.126370192,0.166123897,0.199983969,0.248536602,0.370607287,0.36796242,0.299615085,0.197160453,-0.794519305,0.163612589,0.003581066,-0.010782416,-0.075579315,1.228117108,-0.213937178,1.242782593,-0.003581066,14183.5,13263,2841,3578,0.114815392,0.17220968,-4730803,110,414,9
1.265305519,0.017156299,1828.094849,1.226196289,1829.321045,-0.017165314,1840.988281,0.000355235,0.074953258,140907.7656,2.789054155,1.51625824,1.576149702,0.365578473,0.014995813,900.1011963,8.104558945,2.127868652,-5.11E-05,1584.5,1838.136353,2353.777832,2511.266602,2739.230713,2930.692383,2853.600098,3056.272705,3499.800049,2888.199951,0.095983475,0.24541913,77.19996643,0.04798713,-0.101709321,1588.669678,0.856885135,-0.112620763,1.485501885,0.09788993,0.154255599,0.177365631,0.22831808,0.298617125,0.341336221,0.294644952,0.133411169,-0.35984993,0.102682784,-0.066753455,-0.005851073,-0.037043042,1.15846622,-0.147692412,1.287273526,0.066753455,14167,13213,2613,3207,0.102061853,0.153079629,-3457080,110,414,8.7
4.504663467,0.006217491,1800.908691,0.277832031,1801.186523,-0.301426291,1914.744873,-0.000179261,0.021051494,106008.7734,4.989081383,1.535665631,1.570633173,0.037253764,0.005484882,900.0135498,8.82682991,14.19744873,-2.04E-05,1767.5,1943.428589,2372.083252,2649.916748,3051.375,3327.055664,3282.666748,3584.604248,3467.800049,2606.888916,0.161029816,0.534641325,81.30374146,0.080507785,-0.027425265,1700.270142,0.796475053,-0.180307582,1.342055678,0.149921298,0.165825441,0.188764602,0.224535331,0.327511609,0.327316374,0.248814613,0.186535358,-0.452470183,0.146822736,0.000298147,-0.007751089,-0.05684774,1.315503001,-0.199459657,1.18949914,-0.000298147,14117,13262,2739,3397,0.107235983,0.160840869,-4037488,112,412,19.7
4.526407242,0.040413592,1831.728271,2.825073242,1834.553345,0.456612974,3115.563721,0.000520295,0.3953062,67828.57813,0.457731277,1.516738057,1.56776166,0.10009905,0.046705041,900.9824829,6.936326027,25.40066528,0.000361867,1654.900024,1871.199951,2444.166748,2634.75,2920.333252,3156.142822,3085.583252,3307.888916,3471.571533,2921.833252,0.11599379,0.300410599,78.48527527,0.057991654,-0.058865178,1661.555664,0.834800601,-0.13530618,1.476927161,0.113272727,0.166332752,0.192929536,0.245937765,0.333124638,0.345018089,0.290761143,0.150565594,-0.496797621,0.121198095,-0.017538272,-0.006915594,-0.050486639,1.186603189,-0.165737435,1.274754405,0.017538272,14135,13259,2741,3477,0.118366033,0.177534774,-4576448,110,408,14.7
